"GENNME","Active_Ingredients"
"Propylene Glycol","Propylene Glycol"
"Sorbitol","Sorbitol"
"Citric Acid/Gluconolactone/Magnesium Carbonate","Citric Acid;Gluconolactone;Magnesium Carbonate"
"Edetate Disodium","Edetate"
"Estrone","Estrone"
"Mineral Oil","Mineral Oil"
"Sucrose","Sucrose"
"Camphor","Camphor"
"Capsaicin","Capsaicin"
"Citric Acid","Citric Acid"
"Petrolatum","Petrolatum"
"Sodium Benzoate","Benzoic Acid"
"Ethanol","Ethanol"
"Cellulose","Cellulose"
"Barbital Sodium","Barbital"
"Polysorbate 80","Polysorbate 80"
"Glycerin","Glycerin"
"Tetracaine","Tetracaine"
"Isopropyl Myristate","Isopropyl Myristate"
"Lanolin","Lanolin"
"Hydroxypropyl Cellulose","Hydroxypropyl Cellulose"
"Deoxy-D-Glucose","Deoxy-D-Glucose"
"Nefazodone Hydrochloride","Nefazodone"
"Zinc Oxide","Zinc Oxide"
"Cimetidine Hydrochloride","Cimetidine"
"Granisetron Hydrochloride","Granisetron"
"Benzalkonium Chloride","Benzalkonium Chloride"
"Polyethylene Glycol","Polyethylene Glycol"
"Xylitol","Xylitol"
"Lamotrigine","Lamotrigine"
"Vinorelbine Tartrate","Vinorelbine"
"Menthol","Menthol"
"Hydrogen Peroxide","Hydrogen Peroxide"
"Magnesium Sulfate","Magnesium Sulfate"
"Pregnenolone","Pregnenolone"
"Carboxymethylcellulose Sodium/Cellulose","Carboxymethylcellulose;Cellulose"
"Acetaminophen","Acetaminophen"
"Lactobacillus Acidophilus","Lactobacillus Acidophilus"
"Aluminum Hydroxide/Magnesium Hydroxide/Simethicone","Aluminum;Magnesium Hydroxide;Simethicone"
"Aspirin","Acetylsalicylic Acid"
"Ascorbic Acid/Vitamin B Complex","Ascorbic Acid;Vitamin B Complex"
"Benzocaine","Benzocaine"
"Biotin","Biotin"
"Bisacodyl","Bisacodyl"
"Bismuth Subsalicylate","Bismuth"
"Calcium Carbonate","Calcium"
"Calcium Citrate","Calcium"
"Calcium Carbonate/Vitamin D","Calcium;Vitamin D"
"Calcium Polycarbophil","Calcium"
"Carbamide Peroxide","Carbamide Peroxide"
"Chlorhexidine Gluconate","Chlorhexidine"
"Coenzyme Q10","Coenzyme Q10"
"Dibucaine","Dibucaine"
"Acetaminophen/Diphenhydramine Hydrochloride","Acetaminophen;Diphenhydramine"
"Docusate Calcium","Docusate"
"Docusate Sodium","Docusate"
"Casanthranol/Docusate Sodium","Casanthranol;Docusate"
"Doxylamine Succinate","Doxylamine"
"Ferrous Fumarate","Ferrous"
"Ferrous Gluconate","Ferrous"
"Ferrous Sulfate","Ferrous"
"Fish Oil","Fish Oil"
"Insulin Human Isophane (NPH)","Insulin Human Isophane"
"Insulin Human Regular","Insulin Human Regular"
"Insulin Human Isophane (NPH)/Insulin Human Regular","Insulin Human Isophane;Insulin Human Regular"
"Lotion, Multi Ingredient","Lotion"
"Lysine","Lysine"
"Magnesium","Magnesium"
"Magnesium Gluconate","Magnesium"
"Magnesium Oxide","Magnesium"
"Methylcellulose","Methylcellulose"
"Mouthwash","Mouthwash"
"Nutritional Supplement","Nutritional Supplement"
"Ointment Base","Ointment Base"
"Oxymetazoline Hydrochloride","Oxymetazoline"
"Mineral Oil/Petrolatum","Mineral Oil;Petrolatum"
"Phenol","Phenol"
"Iron Polysaccharide","Iron"
"Polyvinyl Alcohol","Polyvinyl Alcohol"
"Povidone Iodine","Povidone Iodine"
"Pramoxine Hydrochloride","Pramoxine"
"Psyllium","Psyllium"
"Piperonyl Butoxide/Pyrethrum Extract","Piperonyl Butoxide;Pyrethrum Extract"
"Quinine Sulfate","Quinine"
"Riboflavin","Riboflavin"
"Simethicone","Simethicone"
"Cleanser","Cleanser"
"Sodium Hypochlorite","Hypochlorite"
"Na Phos, Dibasic/Na Phos, Monobasic","Phosphate"
"Tetrahydrozoline Hydrochloride","Tetrahydrozoline"
"Tetrahydrozoline Hydrochloride/Zinc Sulfate","Tetrahydrozoline;Zinc"
"Tolnaftate","Tolnaftate"
"Trolamine Salicylate","Salicylic Acid"
"Vitamin A","Vitamin A"
"Vitamin A/Vitamin D","Vitamin A;Vitamin D"
"Iron/Multivitamin","Iron;Multivitamin"
"Vitamin B Complex","Vitamin B Complex"
"Vitamin E","Vitamin E"
"Zinc Gluconate","Zinc"
"Cream, Multi Ingredient","Cream"
"Magnesium Lactate","Magnesium"
"Pyridoxine","Pyridoxine"
"Vitamin D","Vitamin D"
"Cholecalciferol","Cholecalciferol"
"Magnesium, Chelated","Magnesium"
"Multivitamin/Zinc Sulfate","Multivitamin;Zinc"
"Docusate Sodium/Ferrous Fumarate","Docusate;Ferrous"
"Zinc, Chelated","Zinc"
"Dextran/Hypromellose","Dextran;Hypromellose"
"Bismuth Tribromophenate","Bismuth Tribromophenate"
"Polyvinyl Alcohol/Povidone","Polyvinyl Alcohol;Povidone"
"Carboxymethylcellulose Sodium","Carboxymethylcellulose"
"Glycerin/Isopropyl Alcohol","Glycerin;Isopropyl Alcohol"
"Terazosin Hydrochloride","Terazosin"
"Cadexomer Iodine","Cadexomer Iodine"
"Bacitracin Zinc","Bacitracin;Zinc"
"Conjugated Estrogens/Medroxyprogesterone Acetate","Conjugated Estrogens;Medroxyprogesterone"
"Ifosfamide","Ifosfamide"
"Divalproex Sodium","Divalproex"
"Beclomethasone Dipropionate Monohydrate","Beclomethasone"
"Bupivacaine Hydrochloride/Epinephrine Bitartrate","Bupivacaine;Epinephrine"
"Potassium Phosphate","Potassium Phosphate"
"Ciprofloxacin","Ciprofloxacin"
"Tramadol Hydrochloride","Tramadol"
"Ethinyl Estradiol/Norethindrone Acetate","Ethinyl Estradiol;Norethindrone"
"Ethinyl Estradiol/Norethin Ace","Ethinyl Estradiol;Norethindrone"
"HC Ace/Neomycin Sulf/Polymyxin B Sulf","Hydrocortisone;Neomycin;Polymyxin B"
"Metformin Hydrochloride","Metformin"
"Nitrofurantoin Monohydrate/Nitrofurantoin, Macro","Nitrofurantoin"
"Aluminum Hydroxide/Magnesium Carbonate","Aluminum;Magnesium Carbonate"
"Dextrose/Milrinone Lactate","Dextrose;Milrinone"
"Atovaquone","Atovaquone"
"Losartan Potassium","Losartan"
"Hydrochlorothiazide/Losartan Potassium","Hydrochlorothiazide;Losartan"
"Moexipril Hydrochloride","Moexiprilat"
"Dorzolamide Hydrochloride","Dorzolamide"
"Lansoprazole","Lansoprazole"
"Esterified Estrogens/Methyltestosterone","Estrogen;Testosterone"
"Dexrazoxane","Dexrazoxane"
"Timolol","Timolol"
"Mycophenolate Mofetil","Mycophenolic Acid"
"Eyelid Cleanser","Eyelid Cleanser"
"Amlodipine Besylate/Benazepril Hydrochloride","Amlodipine;Benazepril"
"Methenamine Mandelate","Methenamine"
"Multimineral/Multivitamin","Multimineral;Multivitamin"
"Dimenhydrinate","Dimenhydrinate"
"Copper Chloride","Copper"
"Cytarabine","Cytarabine"
"Gadopentetate Dimeglumine","Gadopentetate"
"Aloe Vera/Glycerin","Aloe Vera;Glycerin"
"Pyrantel Pamoate","Pyrantel"
"Valacyclovir Hydrochloride","Acyclovir"
"Alendronate Sodium","Alendronate"
"Iopromide","Iopromide"
"Bicalutamide","Bicalutamide"
"Estropipate","Estrone"
"Phenylephrine Hydrochloride/Shark Liver Oil","Phenylephrine;Shark Liver Oil"
"Lamivudine","Lamivudine"
"Acarbose","Acarbose"
"Lactulose","Lactulose"
"Miconazole","Miconazole"
"Ciclopirox Olamine","Ciclopirox"
"Melatonin","Melatonin"
"Epoprostenol Sodium","Epoprostenol"
"Azelaic Acid","Azelaic Acid"
"Cetirizine Hydrochloride","Cetirizine"
"Somatropin, E-Coli Derived","Somatropin"
"Zinc","Zinc"
"Flavoring Aid","Flavoring Aid"
"Riluzole","Riluzole"
"Cisatracurium Besylate","Cisatracurium"
"Tea Tree Oil","Tea Tree Oil"
"Anastrozole","Anastrozole"
"Glimepiride","Glimepiride"
"Ritonavir","Ritonavir"
"Diphenhydramine Hydrochloride/Zinc Acetate","Diphenhydramine;Zinc"
"Mupirocin Calcium","Mupirocin"
"Melatonin/Pyridoxine","Melatonin;Pyridoxine"
"Trandolapril","Trandolapril"
"Interferon Beta-1A","Interferon Beta-1a"
"Sodium Phenylbutyrate","Phenylbutyrate"
"Adapalene","Adapalene"
"Sennosides A and B","Sennosides A;Sennosides B"
"Potassium Citrate","Potassium Citrate"
"PEG/K Cl/Na Bicarb/Na Cl/Na Sulf","Peg;Potassium Chloride;Sodium;Sulfate"
"Cidofovir","Cidofovir"
"Mirtazapine","Mirtazapine"
"Latanoprost","Latanoprost"
"Irinotecan Hydrochloride","Irinotecan"
"Insulin Lispro, Recombinant","Insulin Lispro"
"Nevirapine","Nevirapine"
"Cefepime Hydrochloride","Cefepime"
"Chlorpheniramine Mal/DM Hydrobrom","Chlorpheniramine;Dextromethorphan"
"Clobazam","Clobazam"
"Pentosan Polysulfate Sodium","Pentosan Polysulfate"
"Tinidazole","Tinidazole"
"Meropenem","Meropenem"
"Brimonidine Tartrate","Brimonidine"
"Zafirlukast","Zafirlukast"
"Olanzapine","Olanzapine"
"Albendazole","Albendazole"
"Remifentanil Hydrochloride","Remifentanil"
"Pyrithione Zinc","Pyrithione Zinc"
"Coal Tar","Coal Tar"
"Midodrine Hydrochloride","Midodrine"
"Ropivacaine Hydrochloride","Ropivacaine"
"Acitretin","Acitretin"
"Cabergoline","Cabergoline"
"Cranberry","Cranberry"
"Doxorubicin Hydrochloride Liposome","Doxorubicin"
"Dextromethorphan Polistirex","Dextromethorphan"
"Penciclovir","Penciclovir"
"Donepezil Hydrochloride","Donepezil"
"Butenafine Hydrochloride","Butenafine"
"Levofloxacin","Levofloxacin"
"Topiramate","Topiramate"
"Azelastine Hydrochloride","Azelastine"
"Tizanidine Hydrochloride","Tizanidine"
"Atorvastatin Calcium","Atorvastatin"
"Zinc Acetate","Zinc"
"Olopatadine Hydrochloride","Olopatadine"
"Fosfomycin Tromethamine","Fosfomycin"
"Anagrelide Hydrochloride","Anagrelide"
"Maltodextrin/Starch, Corn","Maltodextrin;Starch"
"Valproate Sodium","Valproate"
"Carvedilol","Carvedilol"
"Tazarotene","Tazarotene"
"Pramipexole Dihydrochloride","Pramipexole"
"Tamsulosin Hydrochloride","Tamsulosin"
"Letrozole","Letrozole"
"Amphotericin B Liposome","Amphotericin B"
"Sumatriptan","Sumatriptan"
"Hydrocodone Bitartrate/Ibuprofen","Hydrocodone;Ibuprofen"
"Ropinirole Hydrochloride","Ropinirole"
"Lamivudine/Zidovudine","Lamivudine;Zidovudine"
"Quetiapine Fumarate","Quetiapine"
"Irbesartan","Irbesartan"
"Chondroitin Sulfate/Glucosamine Hydrochloride","Chondroitin;Glucosamine"
"Scopolamine","Scopolamine"
"Menthol/Methyl Salicylate","Menthol;Methyl Salicylate"
"Rituximab","Rituximab"
"Salmeterol Xinafoate","Salmeterol"
"Raloxifene Hydrochloride","Raloxifene"
"Fexofenadine HCl/PSE HCl","Fexofenadine;Pseudoephedrine"
"Camphor/Menthol","Camphor;Menthol"
"Zolmitriptan","Zolmitriptan"
"Tiagabine Hydrochloride","Tiagabine"
"Benzocaine/Menthol","Benzocaine;Menthol"
"Vitamin E Acetate","Vitamin E"
"Becaplermin","Becaplermin"
"Clopidogrel Hydrogen Sulfate","Clopidogrel"
"Naratriptan Hydrochloride","Naratriptan"
"Montelukast Sodium","Montelukast"
"Ca Cl/Mg Cl/K Cl/Na Ace/Na Cl/Na Cit","Calcium;Magnesium;Potassium;Sodium"
"Ca Cl/K Cl/Na Cl","Calcium;Potassium;Sodium"
"Ca Cl/Dextrose/Glutathione Disulfide/Mg Cl/K Cl/Na","Calcium;Dextrose;Glutathione;Magnesium;Potassium;Sodium"
"Ca Cl/K Cl/Na Cl/Na Lact","Calcium;Potassium;Sodium;Lactate"
"Mg Cl/K Cl/K Phos/Na Ace/Na Cl/Na Gluconate/Na Pho","Magnesium;Potassium;Phosphate;Sodium;Gluconate"
"Gramicidin/Neomycin Sulfate/Polymyxin B Sulfate","Gramicidin;Neomycin;Polymyxin B"
"Potassium Nitrate/Silver Nitrate","Potassium Nitrate;Silver"
"Sevoflurane","Sevoflurane"
"Vit C/Biotin/Ca Pantothenate/Cr/Cu/Vit B12/Folic A","Vitamin C;Biotin;Calcium Pantothenate;Chromium;Copper;Vitamin B12;Folic Acid"
"Atropine Sulf/Hyoscyamine Sulf/PHENobarbital/Scop","Atropine;Hyoscyamine;Phenobarbital;Scopolamine"
"K Phos/Na Phos, Dibasic/Na Phos, Monobasic","Potassium Phosphate;Phosphate"
"APAP/Butalbital/Caff/Codeine Phos","Acetaminophen;Butalbital;Caffeine;Codeine"
"Aspirin/Butalbital/Caffeine/Codeine Phosphate","Acetylsalicylic Acid;Butalbital;Caffeine;Codeine"
"Repaglinide","Repaglinide"
"Diphtheria Toxoid, Adsorbed/Tetanus Toxoid","Diphtheria Toxoid;Tetanus Toxoid"
"Vit C/Ca Pantothenate/Vit B12/Folic Acid/Mg Sulf/M","Vitamin C;Calcium Pantothenate;Vitamin B12;Folic Acid;Magnesium Sulfate"
"Vit C/Biotin/Ca Pantothenate/Vit B12/Folic Acid/Vi","Vitamin C;Biotin;Calcium Pantothenate;Vitamin B12;Folic Acid"
"Vit C/Biotin/Ca Pantothenate/Vit B12/DSS/Folic Aci","Vitamin C;Biotin;Calcium Pantothenate;Vitamin B12;Dss;Folic Acid"
"Ca Cl/Dextrose/K Cl/Na Cl/Na Lact","Calcium;Dextrose;Potassium;Sodium;Lactate"
"Hepatitis A Vaccine, Inactivated","Hepatitis A Vaccine"
"Varicella Virus Vaccine","Varicella Virus Vaccine"
"Colistin Sulf/HC Ace/Neomycin Sulf/Thonzonium Brom","Colistin;Hydrocortisone;Neomycin;Thonzonium Bromide"
"Hydrochlorothiazide/Valsartan","Hydrochlorothiazide;Valsartan"
"Chromium/Copper/Manganese/Selenium/Zinc","Chromium;Copper;Manganese;Selenium;Zinc"
"Technetium Tc 99m Tetrofosmin","Technetium Tc 99m Tetrofosmin"
"Tolterodine Tartrate","Tolterodine"
"Loteprednol Etabonate","Loteprednol"
"Sildenafil Citrate","Sildenafil"
"Fenofibrate","Fenofibrate"
"Vit C/Vit B12/Folic Acid/Vitamin B3/Vit B6/Vit B2/","Vitamin C;Vitamin B12;Folic Acid;Vitamin B3;Vitamin B6;Vitamin B2"
"Amino Acids/Ca Cl/Dextrose/Mg Cl/K Phos/Na Ace/Na","Amino Acids;Calcium;Dextrose;Magnesium;Potassium Phosphate;Sodium"
"Soybean Oil","Soybean Oil"
"Paricalcitol","Paricalcitol"
"Brinzolamide","Brinzolamide"
"Dorzolamide Hydrochloride/Timolol Maleate","Dorzolamide;Timolol"
"Tirofiban Hydrochloride","Tirofiban"
"Capecitabine","Capecitabine"
"Acyclovir Sodium","Acyclovir"
"Ciprofloxacin Hydrochloride/Hydrocortisone","Ciprofloxacin;Hydrocortisone"
"Chondroitin Sulfate/Glucosamine Sulfate","Chondroitin;Glucosamine"
"Acetaminophen/Aspirin/Caffeine","Acetaminophen;Acetylsalicylic Acid;Caffeine"
"Dalteparin Sodium","Dalteparin"
"Rizatriptan Benzoate","Rizatriptan"
"Cefdinir","Cefdinir"
"Vit C/Biotin/Boron/Ca/Ca Pantothenate/Chloride/Cr/","Ascorbic Acid;Biotin;Boron;Calcium;Pantothenic Acid;Chloride;Chromium"
"Cyanocobalamin/Folic Acid/Pyridoxine","Cyanocobalamin;Folic Acid;Pyridoxine"
"Citalopram Hydrobromide","Citalopram"
"Diclofenac Sodium/Misoprostol","Diclofenac;Misoprostol"
"Haemophilus B Conjugate Vaccine","Haemophilus B Vaccine"
"Influenza Virus Vaccine (Subvirion)","Influenza Virus Vaccine"
"Leflunomide","Leflunomide"
"Infliximab","Infliximab"
"Estradiol/Norethindrone Acetate","Estradiol;Norethindrone"
"Candesartan Cilexetil","Candesartan"
"Triclosan","Triclosan"
"Trastuzumab","Trastuzumab"
"Vit C/Ca/Vit B12/Folic Acid/Fe/Vitamin B3/Vit B6/V","Ascorbic Acid;Calcium;Cyanocobalamin;Folic Acid;Iron;Niacin;Pyridoxine"
"Etanercept","Etanercept"
"Rifapentine","Rifapentine"
"Vit C/Ca/Vit B12/Folic Acid/Iodine/Fe/Mg/Vitamin B","Ascorbic Acid;Calcium;Cyanocobalamin;Folic Acid;Iodine;Iron;Magnesium;Vitamin B Complex"
"Vitamin B Complex and Vitamin C","Vitamin B Complex;Ascorbic Acid"
"Magnesium Hydroxide","Magnesium"
"Telmisartan","Telmisartan"
"Glutathione","Glutathione"
"Abacavir Sulfate","Abacavir"
"Vit C/Ca Pantothenate/Vit B12/Folic Acid/Vitamin B","Ascorbic Acid;Calcium;Pantothenic Acid;Cyanocobalamin;Folic Acid;Vitamin B Complex"
"Celecoxib","Celecoxib"
"Miglitol","Miglitol"
"Eucalyptol/Menthol/Methyl Salicylate/Thymol","Eucalyptol;Menthol;Methyl Salicylate;Thymol"
"Docusate Sodium/Senna","Docusate;Senna"
"Diethylene Glycol Monoethyl Ether","Diethylene Glycol Monoethyl Ether"
"Aloe Vera","Aloe Vera"
"Vit B Complex","Vitamin B Complex"
"Isopropyl Palmitate/Lecithin","Isopropyl Palmitate;Lecithin"
"Thioctic Acid","Thioctic Acid"
"Vit C/Biotin/Ca Pantothenate/Vit B12/Folic Acid/Ni","Vitamin C;Biotin;Calcium Pantothenate;Vitamin B12;Folic Acid;Niacin"
"Modafinil","Modafinil"
"Imiquimod","Imiquimod"
"Cilostazol","Cilostazol"
"Ferric Subsulfate","Ferric"
"Aluminum Hydroxide/Magnesium Hydroxide","Aluminum;Magnesium Hydroxide"
"Hydrochlorothiazide/Irbesartan","Hydrochlorothiazide;Irbesartan"
"Sodium Ferric Gluconate Complex","Ferric"
"Levalbuterol Hydrochloride","Levalbuterol"
"Antihemophilic Factor VIII:C Human","Antihemophilic Factor Viii"
"Antihemophilic Factor VIII (Recombinant)","Antihemophilic Factor Viii"
"Multivitamin and Minerals","Multivitamins;Minerals"
"Ondansetron","Ondansetron"
"Dimethicone/Petrolatum","Dimethicone;Petrolatum"
"Pioglitazone Hydrochloride","Pioglitazone"
"Ketotifen Fumarate","Ketotifen"
"Ivermectin","Ivermectin"
"Rabeprazole Sodium","Rabeprazole"
"Temozolomide","Temozolomide"
"Zaleplon","Zaleplon"
"Oseltamivir Phosphate","Oseltamivir"
"Entacapone","Entacapone"
"Mg Cl/K Cl/Na Ace/Na Cl/Na Gluconate","Magnesium;Potassium Chloride;Sodium;Gluconic Acid"
"Leuprolide Acetate","Leuprolide"
"Glyburide, Micronized","Glyburide"
"Dimethicone/Zinc Oxide","Dimethicone;Zinc Oxide"
"Pimozide","Pimozide"
"Carbidopa","Carbidopa"
"Moxifloxacin Hydrochloride","Moxifloxacin"
"Dimethicone","Dimethicone"
"Budesonide","Budesonide"
"Cocoa Butter/Phenyleph HCl/Shark Liver Oil","Cocoa Butter;Phenylephrine;Shark Liver Oil"
"Iron","Iron"
"Exemestane","Exemestane"
"Insulin Lispro Protamine/Insulin Lispro","Insulin Lispro"
"Acetic Acid Glacial/Oxyquinoline Sulfate","Acetic Acid;Oxyquinoline"
"Lactobacillus Acidophilus/Lactobacillus Sporogenes","Lactobacillus Acidophilus;Lactobacillus Sporogenes"
"Multivitamin and Iron","Multivitamin;Iron"
"Oxcarbazepine","Oxcarbazepine"
"Alosetron Hydrochloride","Alosetron"
"Nedocromil Sodium","Nedocromil"
"Ciclopirox","Ciclopirox"
"Dexmedetomidine Hydrochloride","Dexmedetomidine"
"Glycerin/Propylene Glycol","Glycerin;Propylene Glycol"
"Aspirin/Dipyridamole","Acetylsalicylic Acid;Dipyridamole"
"Fexofenadine Hydrochloride","Fexofenadine"
"Levetiracetam","Levetiracetam"
"Cevimeline Hydrochloride","Cevimeline"
"Zanamivir","Zanamivir"
"Pantoprazole Sodium","Pantoprazole"
"Hydrochlorothiazide/Quinapril Hydrochloride","Hydrochlorothiazide;Quinaprilat"
"Fosinopril Sodium/Hydrochlorothiazide","Fosinoprilat;Hydrochlorothiazide"
"Meloxicam","Meloxicam"
"Linezolid","Linezolid"
"Rivastigmine Tartrate","Rivastigmine"
"Technetium Tc 99m Sulfurcolloid","Technetium Tc 99m Sulfurcolloid"
"Ascorbic Acid/Copper/Lutein/Vitamin E/Zinc","Ascorbic Acid;Copper;Lutein;Vitamin E;Zinc"
"Interferon Gamma-1B","Interferon Gamma-1b"
"Calcium","Calcium"
"Petrolatum/Zinc Oxide","Petrolatum;Zinc Oxide"
"Docusate Sodium/Sennosides A and B","Docusate;Sennosides A;Sennosides B"
"Glyburide/Metformin Hydrochloride","Glyburide;Metformin"
"Zonisamide","Zonisamide"
"Sevelamer Hydrochloride","Sevelamer"
"Colesevelam Hydrochloride","Colesevelam"
"Candesartan Cilexetil/Hydrochlorothiazide","Candesartan;Hydrochlorothiazide"
"AHF VIII (Recombinant) Sucrose Formulated","Ahf Viii Recombinant"
"Lopinavir/Ritonavir","Lopinavir;Ritonavir"
"Acetaminophen/Pamabrom/Pyrilamine Maleate","Acetaminophen;Pamabrom;Pyrilamine"
"Ascorbic Acid/Vitamin A/Vitamin D","Ascorbic Acid;Vitamin A;Vitamin D"
"Camphor/Eucalyptus Oil/Menthol","Camphor;Eucalyptus Oil;Menthol"
"Didanosine","Didanosine"
"APAP/Chlorpheniramine Mal/Phenyleph HCl","Acetaminophen;Chlorpheniramine;Phenylephrine"
"Gadoversetamide","Gadoversetamide"
"Docosanol","Docosanol"
"Vit C/Ca Pantothenate/Vitamin B3/Vit B6/Vit B2/Vit","Vitamin C;Calcium Pantothenate;Niacin;Vitamin B6;Vitamin B2"
"Vit C/Vit B12/Vitamin B3/Vit B6/Vit B2/Vit B1/Vit","Vitamin C;Vitamin B12;Niacin;Vitamin B6;Vitamin B2;Vitamin B1"
"Vit C/Cu/Se/Vit A/Vit E/Zinc","Vitamin C;Copper;Selenium;Vitamin A;Vitamin E;Zinc"
"Vit C/Fe/Vitamin B3/Vit B6/Vit B2/Vit B1/Vit A/Vit","Vitamin C;Iron;Niacin;Vitamin B6;Vitamin B2;Vitamin B1;Vitamin A"
"Lactase","Lactase"
"Vit C/Ca Pantothenate/Vit B12/Folic Acid/Fe/Vitami","Vitamin C;Calcium Pantothenate;Vitamin B12;Folic Acid;Iron"
"Ca Pantothenate/Niacinamide/Vit B6/Vit B2/Vit B1","Calcium Pantothenate;Niacinamide;Vitamin B6;Vitamin B2;Vitamin B1"
"Vit C/Biotin/Ca Pantothenate/Vit B12/Folic Acid/Fe","Vitamin C;Biotin;Calcium Pantothenate;Vitamin B12;Folic Acid;Iron"
"Magnesium Citrate","Magnesium"
"Vit C/Vit B12/Folic Acid/Fe/Niacinamide/Vit B6/Vit","Vitamin C;Vitamin B12;Folic Acid;Iron;Niacinamide;Vitamin B6"
"Calcium Phosphate, Dibasic/Cyanocobalamin","Calcium Phosphate;Cyanocobalamin"
"Calcium/Vitamin D","Calcium;Vitamin D"
"Vit C/Biotin/Ca/Ca Pantothenate/Cu/Vit B12/Folic A","Vitamin C;Biotin;Calcium;Calcium Pantothenate;Copper;Vitamin B12;Folic Acid"
"Isopropyl Alcohol","Isopropyl Alcohol"
"Balsalazide Disodium","Balsalazide"
"Camphor/Menthol/Methyl Salicylate","Camphor;Menthol;Methyl Salicylate"
"Cyanocobalamin/Niacin/Protease/Riboflavin/Thiamine","Cyanocobalamin;Niacin;Protease;Riboflavin;Thiamine"
"Docosahexaenoic Acid/Eicosapentaenoic Acid/Vit E","Docosahexaenoic Acid;Eicosapentaenoic Acid;Vitamin E"
"Phosphorus/Potassium/Sodium","Phosphorus;Potassium;Sodium"
"Vit C/Biotin/Ca Pantothenate/Cr/Vit B12/Iodine/Fe/","Vitamin C;Biotin;Calcium Pantothenate;Chromium;Vitamin B12;Iodine;Iron"
"Chloride/Citric Acid/Dextrose/Potassium/Sodium","Chloride;Citric Acid;Dextrose;Potassium;Sodium"
"Capsaicin/Menthol/Methyl Salicylate","Capsaicin;Menthol;Methyl Salicylate"
"Fish Oil/Vitamin E","Fish Oil;Vitamin E"
"Hydrochlorothiazide/Telmisartan","Hydrochlorothiazide;Telmisartan"
"Nateglinide","Nateglinide"
"Cajeput Oil/Cottonseed Oil/Eucalyptus Oil/Peppermi","Cajeput Oil;Cottonseed Oil;Eucalyptus Oil;Peppermint Oil"
"Benzoyl Peroxide/Clindamycin Phosphate","Benzoyl Peroxide;Clindamycin"
"Bivalirudin","Bivalirudin"
"Caspofungin Acetate","Caspofungin"
"Levonorgestrel","Levonorgestrel"
"Esomeprazole Magnesium","Esomeprazole"
"Ziprasidone Hydrochloride","Ziprasidone"
"Vit C/Ca/Ca Pantothenate/Vit B12/DSS/Folic Acid/Fe","Vitamin C;Calcium;Calcium Pantothenate;Vitamin B12;Dss;Folic Acid;Iron"
"Witch Hazel","Witch Hazel"
"Travoprost","Travoprost"
"Fluticasone Propionate/Salmeterol Xinafoate","Fluticasone;Salmeterol"
"Bimatoprost","Bimatoprost"
"Galantamine Hydrobromide","Galantamine"
"Insulin Glargine, Recombinant","Insulin"
"Formoterol Fumarate","Formoterol"
"Methylcobalamin","Methylvitamin B12"
"Iron Sucrose","Iron"
"Ribavirin","Ribavirin"
"Valganciclovir Hydrochloride","Ganciclovir"
"Hep A Vac, Inactivated/Hep B Vac Recombinant","Hepatitis A Vaccine;Hepatitis B Vaccine"
"Measles Virus Vaccine, Live/Mumps Virus Vaccine, L","Measles Vaccine;Mumps Vaccine"
"Potassium Bicarbonate","Potassium Bicarbonate"
"Albuterol Sulfate/Ipratropium Bromide","Albuterol;Ipratropium"
"Hylan Polymers A and B","Hylan Polymer A;Hylan Polymer B"
"Carboplatin","Carboplatin"
"Sirolimus","Sirolimus"
"Perflutren Lipid Microsphere","Perflutren"
"Valsartan","Valsartan"
"Cetirizine HCl/PSE HCl","Cetirizine;Pseudoephedrine"
"Insulin Aspart, Recombinant","Insulin Aspart"
"Acetylcholine Chloride","Acetylcholine"
"Menthol/Zinc Oxide","Menthol;Zinc Oxide"
"Acetaminophen/Tramadol Hydrochloride","Acetaminophen;Tramadol"
"Darbepoetin Alfa","Darbepoetin Alfa"
"Lactobacillus Acidophilus/Pectin","Lactobacillus Acidophilus;Pectin"
"Tenofovir Disoproxil Fumarate","Tenofovir"
"Fluphenazine Decanoate","Fluphenazine"
"Vit C/Biotin/Vit B12/Dexpanthenol/Folic Acid/Niaci","Ascorbic Acid;Biotin;Cyanocobalamin;Pantothenic Acid;Folic Acid;Niacinamide"
"Fructooligosaccharide/Lactobacillus Acidophilus","Fructooligosaccharide;Lactobacillus Acidophilus"
"Anakinra","Anakinra"
"Vit C/Vit B12/Ferrous Fum/Stomach, Desiccated","Ascorbic Acid;Cyanocobalamin;Ferrous"
"Doxercalciferol","Doxercalciferol"
"Multivitamin and Nutriceuticals","Multivitamins"
"Dexmethylphenidate Hydrochloride","Dexmethylphenidate"
"Castor Oil/Peru Balsam/Trypsin","Castor Oil;Peru Balsam;Trypsin"
"Lanolin/Mineral Oil/Petrolatum","Lanolin;Mineral Oil;Petrolatum"
"Amphetamine Salt Combination","Amphetamine"
"Desloratadine","Desloratadine"
"Benzoyl Peroxide/Erythromycin","Benzoyl Peroxide;Erythromycin"
"Pimecrolimus","Pimecrolimus"
"Fondaparinux Sodium","Fondaparinux"
"Vit C/Ca/Ca Pantothenate/Vit B12/Folic Acid/Fe/Vit","Ascorbic Acid;Calcium;Pantothenic Acid;Cyanocobalamin;Folic Acid;Iron"
"Rabies Vaccine","Rabies Vaccine"
"Ertapenem Sodium","Ertapenem"
"Efavirenz","Efavirenz"
